time-point	#client-msg	#server-msg	client-bytes	server-bytes	avg-client-bytes	avg-server-bytes
2018-02-08 17:26:29	27	12	1227	5452	45.44	454.33	0100	97	storm	alive
2018-02-08 17:26:30	30	10	2078	3738	69.27	373.80	0101	97	storm	alive
2018-02-08 17:26:31	28	10	1356	4426	48.43	442.60	0102	97	storm	alive
2018-02-08 17:26:32	31	12	1455	3148	46.94	262.33	0103	97	storm	alive
2018-02-08 17:26:33	30	11	1486	2843	49.53	258.45	0104	97	storm	alive
2018-02-08 17:26:34	30	10	1470	2746	49.00	274.60	0105	97	storm	alive
2018-02-08 17:26:35	29	11	1421	3019	49.00	274.45	0106	97	storm	alive
2018-02-08 17:26:36	31	11	1439	2603	46.42	236.64	0107	97	storm	alive
2018-02-08 17:26:37	28	11	1484	2603	53.00	236.64	0108	96	storm	alive
2018-02-08 17:26:38	28	11	1532	2363	54.71	214.82	0109	95	storm	alive
2018-02-08 17:26:39	30	11	1294	2091	43.13	190.09	0110	95	storm	alive
2018-02-08 17:26:40	34	11	1890	3019	55.59	274.45	0111	95	storm	alive
2018-02-08 17:26:41	35	12	1795	2844	51.29	237.00	0112	95	storm	alive
2018-02-08 17:26:42	33	11	1553	3275	47.06	297.73	0113	95	storm	alive
2018-02-08 17:26:43	35	12	1683	3692	48.09	307.67	0114	94	storm	alive
2018-02-08 17:26:44	40	13	1784	3485	44.60	268.08	0115	94	storm	alive
2018-02-08 17:26:45	32	10	1584	2586	49.50	258.60	0116	94	storm	alive
2018-02-08 17:26:46	37	11	1765	2827	47.70	257.00	0117	94	storm	alive
2018-02-08 17:26:47	35	11	1715	3179	49.00	289.00	0118	94	storm	alive
2018-02-08 17:26:48	32	11	1680	2587	52.50	235.18	0119	94	storm	alive
2018-02-08 17:26:49	32	10	1744	2426	54.50	242.60	0120	94	storm	alive
2018-02-08 17:26:50	36	11	1684	3147	46.78	286.09	0121	92	storm	alive
2018-02-08 17:26:51	32	11	1696	3003	53.00	273.00	0122	92	storm	alive
2018-02-08 17:26:52	39	12	1927	2044	49.41	170.33	0123	91	storm	alive
2018-02-08 17:26:53	34	11	1986	2123	58.41	193.00	0124	91	storm	alive
2018-02-08 17:26:54	35	12	1971	2700	56.31	225.00	0125	91	storm	alive
2018-02-08 17:26:55	37	11	1909	2459	51.59	223.55	0126	91	storm	alive
2018-02-08 17:26:56	32	10	1632	1850	51.00	185.00	0127	91	storm	alive
2018-02-08 17:26:57	35	14	1779	3006	50.83	214.71	0128	91	storm	alive
2018-02-08 17:26:58	33	11	1697	1451	51.42	131.91	0129	91	storm	alive
2018-02-08 17:26:59	35	11	1875	1323	53.57	120.27	0130	90	storm	alive
2018-02-08 17:27:00	42	12	1802	1916	42.90	159.67	0131	90	storm	alive
2018-02-08 17:27:01	41	11	1673	2139	40.80	194.45	0132	90	storm	alive
2018-02-08 17:27:02	38	11	2262	2379	59.53	216.27	0133	90	storm	alive
2018-02-08 17:27:03	35	11	1603	1787	45.80	162.45	0134	90	storm	alive
2018-02-08 17:27:04	34	11	1490	1659	43.82	150.82	0135	89	storm	alive
2018-02-08 17:27:05	33	11	1697	2251	51.42	204.64	0136	89	storm	alive
2018-02-08 17:27:06	34	11	1714	2267	50.41	206.09	0137	89	storm	alive
2018-02-08 17:27:07	38	14	1510	1678	39.74	119.86	0138	89	storm	alive
2018-02-08 17:27:08	37	12	1733	2124	46.84	177.00	0139	89	storm	alive
2018-02-08 17:27:09	36	11	1940	1627	53.89	147.91	0140	89	storm	alive
2018-02-08 17:27:10	36	11	1668	1899	46.33	172.64	0141	89	storm	alive
2018-02-08 17:27:11	36	11	1668	2011	46.33	182.82	0142	89	storm	alive
