0	     6.327	     6.507
1	     6.327	     6.507
2	     6.327	     6.507
3	     6.327	     6.507
4	     6.327	     6.507
5	     6.327	     6.507
6	     6.327	     6.507
7	     6.327	     6.507
8	     6.327	     6.507
9	     6.327	     6.507
10	     6.327	     6.507
11	     6.327	     6.507
12	     6.327	     6.507
13	     6.327	     6.507
14	     6.344	     6.521
15	     6.360	     6.536
16	     6.377	     6.550
17	     6.394	     6.565
18	     6.411	     6.579
19	     6.428	     6.594
20	     6.445	     6.608
21	     6.438	     6.587
22	     6.431	     6.566
23	     6.424	     6.545
24	     6.417	     6.524
25	     6.410	     6.502
26	     6.403	     6.481
27	     6.397	     6.460
28	     6.390	     6.439
29	     6.394	     6.461
30	     6.399	     6.483
31	     6.403	     6.504
32	     6.408	     6.526
33	     6.423	     6.510
34	     6.438	     6.493
35	     6.452	     6.476
36	     6.467	     6.459
37	     6.481	     6.442
38	     6.495	     6.425
39	     6.503	     6.404
40	     6.511	     6.384
41	     6.518	     6.363
42	     6.539	     6.355
43	     6.560	     6.348
44	     6.581	     6.341
45	     6.601	     6.330
46	     6.620	     6.319
47	     6.639	     6.309
48	     6.659	     6.298
49	     6.678	     6.287
50	     6.698	     6.276
51	     6.717	     6.266
52	     6.737	     6.255
53	     6.737	     6.255
54	     6.737	     6.255
55	     6.737	     6.255
56	     6.737	     6.255
57	     6.737	     6.255
58	     6.737	     6.255
59	     6.737	     6.255
60	     6.731	     6.234
61	     6.725	     6.212
62	     6.742	     6.198
63	     6.759	     6.184
64	     6.777	     6.171
65	     6.794	     6.157
66	     6.811	     6.143
67	     6.829	     6.129
68	     6.829	     6.129
69	     6.829	     6.129
70	     6.821	     6.108
71	     6.813	     6.088
72	     6.805	     6.067
73	     6.796	     6.046
74	     6.788	     6.025
75	     6.788	     6.025
76	     6.788	     6.025
77	     6.788	     6.025
78	     6.788	     6.025
79	     6.788	     6.025
80	     6.788	     6.025
81	     6.788	     6.025
82	     6.788	     6.025
83	     6.788	     6.025
84	     6.788	     6.025
85	     6.788	     6.025
86	     6.788	     6.025
87	     6.788	     6.025
88	     6.799	     6.045
89	     6.810	     6.064
90	     6.821	     6.084
91	     6.831	     6.103
92	     6.842	     6.123
93	     6.853	     6.142
94	     6.864	     6.161
95	     6.875	     6.181
96	     6.875	     6.181
97	     6.875	     6.181
98	     6.875	     6.181
99	     6.893	     6.193
100	     6.911	     6.206
101	     6.930	     6.219
102	     6.948	     6.231
103	     6.966	     6.244
104	     6.985	     6.256
105	     7.003	     6.269
106	     7.025	     6.274
107	     7.046	     6.279
108	     7.046	     6.279
109	     7.046	     6.279
110	     7.046	     6.279
111	     7.046	     6.279
112	     7.046	     6.279
113	     7.046	     6.279
114	     7.046	     6.279
115	     7.046	     6.279
116	     7.046	     6.279
117	     7.068	     6.281
118	     7.091	     6.283
119	     7.113	     6.284
120	     7.135	     6.286
121	     7.157	     6.288
122	     7.157	     6.288
123	     7.157	     6.288
124	     7.157	     6.288
125	     7.157	     6.288
126	     7.157	     6.288
127	     7.157	     6.288
128	     7.157	     6.288
129	     7.157	     6.288
130	     7.157	     6.288
131	     7.157	     6.288
132	     7.157	     6.288
133	     7.166	     6.308
134	     7.175	     6.329
135	     7.185	     6.349
136	     7.194	     6.369
137	     7.203	     6.389
138	     7.212	     6.409
139	     7.222	     6.430
140	     7.231	     6.450
141	     7.239	     6.470
142	     7.248	     6.491
143	     7.256	     6.512
144	     7.264	     6.532
145	     7.273	     6.553
146	     7.281	     6.573
147	     7.289	     6.594
148	     7.297	     6.615
149	     7.312	     6.631
150	     7.327	     6.648
151	     7.341	     6.665
152	     7.356	     6.681
153	     7.378	     6.687
154	     7.399	     6.692
155	     7.421	     6.698
156	     7.442	     6.703
157	     7.453	     6.723
158	     7.464	     6.742
159	     7.474	     6.762
160	     7.485	     6.781
161	     7.496	     6.800
162	     7.507	     6.820
163	     7.507	     6.820
164	     7.507	     6.820
165	     7.507	     6.820
166	     7.499	     6.799
167	     7.491	     6.778
168	     7.489	     6.756
169	     7.487	     6.734
170	     7.485	     6.712
171	     7.484	     6.690
172	     7.482	     6.668
173	     7.480	     6.645
174	     7.480	     6.645
175	     7.480	     6.645
176	     7.480	     6.645
177	     7.480	     6.645
178	     7.480	     6.645
179	     7.480	     6.645
180	     7.480	     6.645
181	     7.500	     6.654
182	     7.520	     6.663
183	     7.541	     6.672
184	     7.561	     6.681
185	     7.581	     6.690
186	     7.602	     6.699
187	     7.622	     6.708
188	     7.642	     6.717
189	     7.663	     6.726
190	     7.647	     6.710
191	     7.631	     6.695
192	     7.616	     6.679
193	     7.600	     6.663
194	     7.584	     6.647
195	     7.562	     6.643
196	     7.541	     6.638
197	     7.519	     6.633
198	     7.497	     6.628
199	     7.517	     6.639
200	     7.536	     6.650
201	     7.555	     6.662
202	     7.574	     6.673
203	     7.593	     6.684
204	     7.587	     6.662
205	     7.581	     6.641
206	     7.559	     6.641
